LSOA21CD,MEAN_NEAR_DIST,MIN_NEAR_DIST,MAX_NEAR_DIST,VARIANCE_NEAR_DIST,MEDIAN_NEAR_DIST
E01005022,0.154456183,0.086050264,0.276442554,0.007002976,0.127665958
E01005023,0.091231649,0.042874576,0.169273039,0.002990459,0.076389491
E01005024,0.059875112,0.046684668,0.072870547,0.000158363,0.059972616
E01005025,0.116250348,0.05528883,0.209437819,0.004545958,0.100137372
E01005026,0.054582671,0.008441451,0.109526695,0.002487211,0.050181268
E01005027,0.032128088,0.008197075,0.054012078,0.00043746,0.033151599
E01005028,0.09749992,0.035241492,0.21211727,0.006153934,0.07132046
E01005029,0.096923473,0.047670031,0.184776663,0.003663632,0.077623599
E01005030,0.080752986,0.00663586,0.254799365,0.013704005,0.030788359
E01005031,0.099623664,0.043772423,0.165351532,0.002620203,0.09468535
E01005032,0.118719197,0.058119788,0.21958995,0.005323031,0.098583524
E01005033,0.175045256,0.074149068,0.44126994,0.031574134,0.092381008
E01005034,0.101202851,0.045267888,0.221188567,0.006597997,0.069177475
E01005035,0.569870516,0.375773716,0.822212201,0.038509286,0.540748073
E01005036,0.082567808,0.052229647,0.126744417,0.000998609,0.075648584
E01005037,0.25024471,0.153114561,0.394430863,0.010801688,0.226716709
E01005038,0.072748549,0.00750483,0.223875269,0.010539564,0.029807048
E01005039,0.045651781,0.010651753,0.103142809,0.001632473,0.03440628
E01005040,0.122854502,0.060229185,0.246399478,0.007100538,0.092394673
E01005041,0.211999472,0.136015656,0.336813313,0.008157626,0.18758446
E01005042,0.126916513,0.031709685,0.20089577,0.007483365,0.137530299
E01005043,0.121004115,0.097810307,0.14391031,0.000355761,0.121147921
E01005044,0.149484469,0.04352908,0.268882801,0.011512129,0.142762997
E01005045,0.109257325,0.079823377,0.147449986,0.000802172,0.104877968
E01005046,0.076882228,0.048201332,0.127138456,0.001330816,0.066094562
E01005047,0.226349643,0.126778469,0.370144828,0.014159695,0.204237637
E01005048,0.160605053,0.053710497,0.261026511,0.009167169,0.163841601
E01005049,0.096360897,0.014359389,0.186983437,0.005988743,0.09205038
E01005050,0.099966066,0.043689999,0.205908885,0.005611244,0.07513269
E01005051,0.097237763,0.011496948,0.232561139,0.011333833,0.072446482
E01005052,0.339737104,0.212232824,0.449469571,0.00997931,0.34862301
E01005053,0.188500356,0.087997114,0.400147149,0.021438807,0.13292858
E01005054,0.147976057,0.007683951,0.241297475,0.00991533,0.1714614
E01005055,0.072397556,0.006538285,0.118798293,0.0022275,0.082126823
E01005056,0.107827592,0.026164443,0.153398292,0.003182554,0.125873817
E01005057,0.184170386,0.066451546,0.38871928,0.019932113,0.140755359
E01005058,0.12759976,0.034596903,0.212607401,0.008301074,0.131597367
E01005059,0.150002918,0.02825221,0.239975333,0.010983885,0.165892065
E01005060,0.199008056,0.143360881,0.308219413,0.005921496,0.172225965
E01005061,0.172913549,0.088788449,0.283004141,0.006571354,0.159930803
E01005063,0.052218467,0.03428845,0.069832778,0.000234523,0.052376321
E01005065,0.046326916,0.017046414,0.095652425,0.001163776,0.036304412
E01005066,0.12619487,0.046372678,0.258606726,0.008437095,0.099900038
E01005067,0.064889413,0.029863304,0.137341402,0.002435393,0.046176473
E01005068,0.098990485,0.04846995,0.128996379,0.001379751,0.109247806
