LSOA21CD,MEAN_NEAR_DIST,MIN_NEAR_DIST,MAX_NEAR_DIST,MEDIAN_NEAR_DIST,VARIANCE_NEAR_DIST
E01005992,0.455822767,0.233291273,0.698546654,0.44572657,0.062752027
E01005993,1.174006831,0.941763906,1.570906888,1.091678265,0.086063746
E01005994,0.927298736,0.735443399,1.167573564,0.90308899,0.038992326
E01005995,0.526198823,0.133981128,1.138614819,0.416099672,0.231715458
E01005996,0.712812901,0.656527323,0.772450968,0.711136656,0.002266541
E01005997,0.40741169,0.263696099,0.57797899,0.393985836,0.025009991
E01005998,0.174497363,0.064559474,0.330467536,0.151481221,0.013279958
E01005999,0.188445054,0.086492218,0.287270996,0.190008502,0.011010574
E01006000,0.153570099,0.068187218,0.274635849,0.135728664,0.007529853
E01006001,0.489176227,0.407540275,0.653446588,0.447859023,0.012475192
E01006002,0.214658725,0.07511843,0.493043771,0.145236349,0.036082534
E01006003,0.212786491,0.174948441,0.259641663,0.208277931,0.001253547
E01006004,0.366762564,0.229124811,0.526270112,0.355827666,0.018630055
E01006005,1.151690696,1.022976081,1.284152767,1.149816968,0.019768932
E01006006,0.97641329,0.706575119,1.413734283,0.892671878,0.094316165
E01006007,0.47540805,0.419414561,0.617420777,0.432398432,0.009046034
E01006008,0.543430539,0.119737419,0.854924874,0.599529932,0.136031075
E01006009,1.047894227,0.86650265,1.148408163,1.088333047,0.015509023
E01006010,1.147931012,1.000536487,1.386726326,1.102230617,0.029630542
E01006011,0.887293461,0.780376738,1.107153415,0.830821846,0.02272587
E01006012,1.189606974,0.958793554,1.399506243,1.200064049,0.034283504
E01006013,0.994250404,0.632013501,1.270942651,1.037022732,0.075617867
E01006014,0.902365168,0.657460084,1.164020302,0.893990143,0.057979991
E01006015,0.396226662,0.308281424,0.583982447,0.346321388,0.016026432
E01006016,0.843558347,0.672119205,1.171610983,0.7652516,0.05009871
E01006017,1.307922444,1.053029946,1.638044057,1.270307887,0.084692242
E01006018,0.793293828,0.654628593,1.032445003,0.743050858,0.02734154
E01006019,1.161319789,1.094206211,1.200093265,1.17548984,0.00213835
E01006020,0.999065393,0.875126467,1.144192465,0.98847132,0.014018801
E01006021,0.842796513,0.82032301,0.877650421,0.836606311,0.00065988
E01006022,0.857458295,0.606100213,1.227436944,0.798148011,0.075504571
E01006023,0.430397773,0.312689406,0.558834911,0.425033387,0.013900149
E01006024,0.298736463,0.066204244,0.395772452,0.366484578,0.024534905
E01006025,1.005427226,0.851260535,1.203104087,0.98367214,0.027341178
E01006026,0.355707657,0.291691596,0.481778481,0.324680275,0.007357135
E01006027,0.292891609,0.13091813,0.648122164,0.196263071,0.057103937
E01006028,0.450308018,0.357174747,0.584162033,0.429947646,0.010165029
E01006029,0.828542992,0.606080251,1.098457587,0.804817064,0.053572935
E01006030,1.025930989,0.932830812,1.077715582,1.046588782,0.004067595
E01006031,0.509786326,0.287024682,1.022301125,0.364909748,0.121864729
E01006032,0.502121783,0.458579567,0.618318471,0.465794546,0.006022268
E01006033,0.287784409,0.125096334,0.394566555,0.315737374,0.013161094
E01006034,0.905284966,0.80736665,1.072234755,0.87076923,0.013316797
E01006035,0.249376201,0.036968838,0.469638521,0.245448723,0.031248632
E01006036,0.162608566,0.108164717,0.279742258,0.131263645,0.006349789
E01006037,0.948559219,0.691947954,1.280886825,0.910701049,0.068417078
E01006038,0.579376406,0.411523934,0.834023972,0.53597886,0.033399835
E01006039,0.461603197,0.343090556,0.721054206,0.391134014,0.030453997
E01006040,0.175616192,0.08129986,0.285529031,0.167817938,0.007217295
E01006041,0.838942673,0.764461367,1.040878204,0.77521556,0.018175559
E01006042,1.234444596,1.18736638,1.301156331,1.224627835,0.002363616
E01006043,0.835038242,0.534423292,1.258897249,0.773416213,0.105292257
E01006044,0.742694418,0.574264909,1.088507775,0.654002494,0.058255946
E01006045,1.055352974,0.830099495,1.342186465,1.024562968,0.045053308
E01006046,1.42407433,1.359512426,1.487062655,1.42486112,0.003509059
E01006047,3.111648263,3.034021089,3.192664713,3.109953625,0.006264281
E01006048,1.971571971,1.812616149,2.177104225,1.948283756,0.023798209
E01006049,2.973971342,2.255485804,3.690034444,2.975182561,0.603971902
